Number,Questions
157,What is your expected income after graduation   starting salary  Provide a numerical answer do not use the dollar sign   just the amount 
158,What is your expected income ten years after graduation  Provide a numerical answer do not use the dollar sign   just the amount 
159,what socioeconomic class do you see yourself in 10 years 
160,How s your sleeping schedule on weekends differ from your sleeping schedule on weekdays    for example  if you go to bed at 11 on weekday and 12 on weekends  then the difference will be 1 hour  differences3 hours  differences between 2 to 3 hours   differences between 1 to 2 hours  or relatively the same  O hours    Provide a numerical answer
161,On a scale of 1   10  how would you rate your computer programming skills  with 1  know absolutely nothing and 10
162,Roughly what percentage of your friends that you hang out often with belong to the same race as yours  Provide a numerical answer
163,How many times did you travel during school breaks only within the semester  i e  Labor Day  Fall Break  Thanksgiving  Spring Break  etc    Provide a numerical answer
164,How many states have you been in the U S   Provide a numerical answer
165,Did you grow up with a father and a mother in the same household 
166,How often do you go out with friends 
167,idEmory y
168,Have you ever suffered from any mental health problems  diagnosed  
169,Do you participate in sports on campus  either varsity  club  or intermural 
170,What do you identify as 
171,Do you want to get married 
172,At what age do you want to get married   Leave blank if you don t want to get married  
173,How many hours of screen time do you amass per week 
174,How many of these hours are from social media and or video games 
175,What is your favorite movie  title and year of release  
176,What are your average hours of sleep on a week day 
177,What are your average hours of sleep on weekend 
178,What brand of phone do you have 
179,How many cousins do you have 
180,What is your favorite color 
181,    Are you a type A personality  impatient  competitive  and ambitious  or type B  easy going  procrastinator  and patient      
182,How often do you travel domestically or internationally in one semester 
183,How often do you eat pizza 
184,What computer system do you use    Windows  Mac OS  Linx 
185,On a scale of 1 5  how religious are you  1 being atheist  
186,How many times have you been overseas  every trip to US counts for int students  
187,Are you satisfied with your school experience   yes or no 
188,How many times did you use a tutor in high school   5  5 10  10 50  50 
189,How many times did you use a tutor seek academic help in high school   5  5 10  10 50  50 
190,How many times per week do you get stuck on any given assignment 
191,How many times do you ask for academic help in a week  from teachers or friends 
192,How many meals do you usually eat a day   Monday Friday 
193,How tired do you feel during the school day   scale 1 10  
194,How many languages do you speak 
195,Are you on a diet or intentionally controlling your body weight 
196,How many hours do you listen to music per day on average 
197,Have you been to a concert in the past year 
198,Do you pay for music streaming service i e  Spotify  Apple Music  
199,    How many generations removed are you from an immigrant in your family   0   first gen  1 second gen  2  third gen  Give a numerical answer    
200,On a scale from 1 to 5  how would you describe your political beliefs   1    very liberal  3  central   5    veryconservative  
201,    How do you consume news or current events   newspaper  social media  radio podcasts  conversation     
202,    How many books do you read per year   except for assigned books in class     
203,How long do you spend on social media per day  estimate   
204,    What do you consider your socio economic level to be   high  middle  low     
205,Does pineapple belong on pizza  yes or no 
206,    What would you consider your hometown   urban  suburban  rural     
207,    Do you volunteer at least once a month during the school year     
208,    Do you perfer warm colors red orange yellow etc  or cool colors blue  green purple etc      
209,    how often do you hang out with your friends days per week      
210,Do you live on or off campus 
211,How many credit hours are you enrolled in Give a numerical answer
212,How many hours of class do you attend a week  Give a numerical answer
213,Do you know how to play a musical instrument 
214,How many portable electronic devices do you have for daily use ex  cellphones  tablets  laptops  switch etc   
215,How many TV shows do you watch in one month 
216,Do you have a car at Emory   Y N 
217,Rate yourself as a driver on a scale from 1 10  Give a numerical answer 1 being a terrible driver 10 being a good driver
218,Do you eat more than 4 servings of vegetables everyday 
219,    Do you usually feel well rested when you wake up in the morning     
220,Do you  on average  get less than 7 hours of sleep a night 
221,How many times in a year do you get sick  Give a numerical answer
222,How much do you spend per month  excluding housing fees   Give a numerical answer in total
223,What is your average wake up time 
224,How many books a year you think you read in your early teen years  on average  
225,Currently  do you receive your narrative content more from streaming devices  books  or equal between the two 
226,Did you apply to Emory early decision or regularly 
227,    If regularly  was Emory your first choice college to attend of those you applied     
228,Do you play sports here  club or school  
229,Are you left or right handed 
230,Were you in any highschool sports team 
231,    Are you an omnivore  vegetarian vegan    O or V VG     
232,What do you think is your annual gross household income  Give a numerical answer
233,Do you qualify for any need based financial aid 
234,How many times a week do you dine out   Eat at or take in food from a restaurant of campus 
235,Do you have a meal plan here at Emory 
236,What number oldest child are you  For example  an only child would be the first oldest  so 1  In a family with 5 children  the middle child would be the 3rd oldest so 3  y
237,    How many hours a day do you spend on campus on average  but not in your dorm room     
238,Are you a first generation college student 
239,How many hours per week do you spend studying on average  
240,What is your height Give a numerical answer
241,Do you want to go to gradschool 
